degrees,latitude,longitude,timestamp
30.76,22.3047,39.1035833,2022-04-14T12:10:25.000Z
30.72,22.3047,39.1035667,2022-04-14T13:10:25.000Z
30.68,22.3047,39.1036,2022-04-14T14:10:25.000Z
30.6,22.3047,39.1035833,2022-04-14T15:10:25.000Z
30.36,22.3047167,39.1035833,2022-04-14T16:10:25.000Z
30.38,22.3047167,39.1035833,2022-04-14T17:10:25.000Z
30.12,22.3046833,39.1035833,2022-04-14T18:10:25.000Z
30.06,22.3047,39.1035667,2022-04-14T19:10:25.000Z
30.02,22.3046833,39.10355,2022-04-14T20:10:25.000Z
29.84,22.30465,39.1035833,2022-04-14T21:10:25.000Z
29.62,22.3046833,39.1035667,2022-04-14T22:10:25.000Z
29.5,22.3046833,39.1035833,2022-04-14T23:10:25.000Z
29.4,22.3046667,39.1036,2022-04-15T00:10:25.000Z
29.3,22.3046667,39.1035667,2022-04-15T01:10:25.000Z
29.34,22.3046667,39.1035667,2022-04-15T02:10:25.000Z
29.34,22.3046667,39.1035667,2022-04-15T03:10:25.000Z
29.34,22.3046667,39.10355,2022-04-15T04:10:25.000Z
29.5,22.3046667,39.1035833,2022-04-15T05:10:25.000Z
29.56,22.3047,39.1036,2022-04-15T06:10:25.000Z
29.64,22.3046667,39.1035667,2022-04-15T07:10:25.000Z
29.76,22.3046667,39.1035667,2022-04-15T08:10:25.000Z
29.84,22.3047,39.1035833,2022-04-15T09:10:25.000Z
29.96,22.3046833,39.1035833,2022-04-15T10:10:25.000Z
30.02,22.3046833,39.1036,2022-04-15T11:10:25.000Z
30.06,22.3047,39.1036,2022-04-15T12:10:25.000Z
30.04,22.3046833,39.1035833,2022-04-15T13:10:25.000Z
29.98,22.3046833,39.1036167,2022-04-15T14:10:25.000Z
29.88,22.3047,39.1035833,2022-04-15T15:10:25.000Z
29.78,22.3047333,39.1036,2022-04-15T16:10:25.000Z
29.74,22.3047,39.1036333,2022-04-15T17:10:25.000Z
29.66,22.3047167,39.1035833,2022-04-15T18:10:25.000Z
29.68,22.3047333,39.1035833,2022-04-15T19:10:25.000Z
29.6,22.3047333,39.1035667,2022-04-15T20:10:25.000Z
29.6,22.3047167,39.1035833,2022-04-15T21:10:25.000Z
29.56,22.3047,39.1036,2022-04-15T22:10:25.000Z
29.5,22.3047,39.1035667,2022-04-15T23:10:25.000Z
29.46,22.3046667,39.1035667,2022-04-16T00:10:25.000Z
29.42,22.30465,39.10355,2022-04-16T01:10:25.000Z
29.34,22.30465,39.1035667,2022-04-16T02:10:25.000Z
29.32,22.30465,39.1035667,2022-04-16T03:10:25.000Z
29.34,22.30465,39.1035667,2022-04-16T04:10:25.000Z
29.56,22.30465,39.1035833,2022-04-16T05:10:25.000Z
29.68,22.30465,39.1036,2022-04-16T06:10:25.000Z
29.82,22.30465,39.1035833,2022-04-16T07:10:25.000Z
29.86,22.3046667,39.1036,2022-04-16T08:10:25.000Z
30.04,22.3046833,39.1035833,2022-04-16T09:10:25.000Z
30.1,22.3046667,39.1035833,2022-04-16T10:10:25.000Z
30.2,22.3046667,39.1036,2022-04-16T11:10:25.000Z
30.22,22.3046833,39.1036,2022-04-16T12:10:25.000Z
30.18,22.3046833,39.1036,2022-04-16T13:10:25.000Z
30.16,22.3046833,39.1035667,2022-04-16T14:10:25.000Z
30.08,22.3047333,39.1035833,2022-04-16T15:10:25.000Z
29.94,22.3046833,39.1035833,2022-04-16T16:10:25.000Z
29.9,22.3047,39.1036167,2022-04-16T17:10:25.000Z
29.92,22.3047,39.1036,2022-04-16T18:10:25.000Z
29.26,22.3046833,39.1035833,2022-04-16T19:10:25.000Z
28.96,22.3046833,39.1035667,2022-04-16T20:10:25.000Z
29.76,22.3046833,39.1036167,2022-04-16T21:10:25.000Z
29.7,22.3046667,39.1036167,2022-04-16T22:10:25.000Z
29.7,22.3047,39.1035667,2022-04-16T23:10:25.000Z
29.64,22.3046667,39.10355,2022-04-17T00:10:25.000Z
29.6,22.3046333,39.1035833,2022-04-17T01:10:25.000Z
